Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","70","French Polynesia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","279.29","X","Figure from international organizations"
"FBS","Food Balances (2010-)","244","Samoa","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","197.1","X","Figure from international organizations"
