Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","4","Algeria","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","43053.05","X","Figure from international organizations"
"FBS","Food Balances (2010-)","59","Egypt","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","100388.07","X","Figure from international organizations"
"FBS","Food Balances (2010-)","124","Libya","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","6777.45","X","Figure from international organizations"
"FBS","Food Balances (2010-)","143","Morocco","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","36471.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","276","Sudan","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","42813.24","X","Figure from international organizations"
"FBS","Food Balances (2010-)","222","Tunisia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","11694.72","X","Figure from international organizations"
