Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","83","Kiribati","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","117.61","X","Figure from international organizations"
"FBS","Food Balances (2010-)","145","Micronesia (Federated States of)","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","113.81","X","Figure from international organizations"
"FBS","Food Balances (2010-)","148","Nauru","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10.76","X","Figure from international organizations"
