Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","23","Belize","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","390.35","X","Figure from international organizations"
"FBS","Food Balances (2010-)","48","Costa Rica","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5047.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","60","El Salvador","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","6453.55","X","Figure from international organizations"
"FBS","Food Balances (2010-)","89","Guatemala","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","17581.47","X","Figure from international organizations"
"FBS","Food Balances (2010-)","95","Honduras","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","9746.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","138","Mexico","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","127575.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","157","Nicaragua","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","6545.5","X","Figure from international organizations"
"FBS","Food Balances (2010-)","166","Panama","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4246.44","X","Figure from international organizations"
