Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","7","Angola","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","31825.29","X","Figure from international organizations"
"FBS","Food Balances (2010-)","32","Cameroon","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","25876.38","X","Figure from international organizations"
"FBS","Food Balances (2010-)","37","Central African Republic","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4745.19","X","Figure from international organizations"
"FBS","Food Balances (2010-)","39","Chad","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","15946.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","46","Congo","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5380.51","X","Figure from international organizations"
"FBS","Food Balances (2010-)","250","Democratic Republic of the Congo","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","86790.57","X","Figure from international organizations"
"FBS","Food Balances (2010-)","74","Gabon","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","2172.58","X","Figure from international organizations"
"FBS","Food Balances (2010-)","193","Sao Tome and Principe","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","215.06","X","Figure from international organizations"
