Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","7436.15","X","Figure from international organizations"
"FBS","Food Balances (2010-)","128","China, Macao SAR","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","640.45","X","Figure from international organizations"
"FBS","Food Balances (2010-)","41","China, mainland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","1433783.69","X","Figure from international organizations"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","23773.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","116","Democratic People's Republic of Korea","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","25666.16","X","Figure from international organizations"
"FBS","Food Balances (2010-)","110","Japan","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","126860.3","X","Figure from international organizations"
"FBS","Food Balances (2010-)","141","Mongolia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","3225.17","X","Figure from international organizations"
"FBS","Food Balances (2010-)","117","Republic of Korea","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","51225.31","X","Figure from international organizations"
